SKU,MODEL,Synonym,PART BRAND,Item Name,Synonmys_1,Synonmys_2,Warehouse Name,Stock On Hand,Price without GST,GST,Price with GST,,,,,,,,,,,,,,
SKU00334741,VJ81,SB81,IMPORTED,"20TON ROCK BREAKER GATE VALVE 1""",GATE VALVE,GATE VALVE,Pune Warehouse,2,1034,18%,1220,,,,,,,,,,,,,,
SKU00218450,VJ43,SB43,IMPORTED,BALL VALVE,GATE VALVE,GATE VALVE,Pune Warehouse,2,975,18%,1150,,,,,,,,,,,,,,
SKU00218733,VJ50,SB50,IMPORTED,BALL VALVE,GATE VALVE,GATE VALVE,Pune Warehouse,2,1034,18%,1220,,,,,,,,,,,,,,
SKU00284292,2200AB,2200AB,IMPORTED,Biscuit Lock Pin,Biscuit,Biscuit,Pune Warehouse,10,186,18%,220,,,,,,,,,,,,,,
SKU00218441,2200AB,2200AB,IMPORTED,Biscuit Lock Pin,Biscuit,Biscuit,YL SmartCity CDC,4,186,18%,220,,,,,,,,,,,,,,
SKU00218724,VJ50,SB50,IMPORTED,BISCUIT LOCKING PIN,Biscuit,Biscuit,Pune Warehouse,10,144,18%,170,,,,,,,,,,,,,,
SKU00334684,VJ50,SB50,IMPORTED,BISCUIT LOCKING PIN,Biscuit,Biscuit,Pune Warehouse,98,195,18%,230,,,,,,,,,,,,,,
SKU00218723,VJ50,SB50,IMPORTED,Biscuit Locking Pin,Biscuit,Biscuit,Pune Warehouse,10,144,18%,170,,,,,,,,,,,,,,
SKU00218725,VJ50,SB50,IMPORTED,BISCUIT WITH HOLE SB50,Biscuit with hole,Biscuit with hole,Pune Warehouse,18,1034,18%,1220,,,,,,,,,,,,,,
SKU00179086,VJ50,SB50,IMPORTED,BISCUIT WITHOUT HOLE,Biscuit without hole,Biscuit without hole,Pune Warehouse,20,864,18%,1020,,,,,,,,,,,,,,
SKU00205043,VJ81,SB81,IMPORTED,Bolt,BRACKET PIN LOCKING BOLT,BRACKET PIN LOCKING BOLT,YL SmartCity CDC,2,102,18%,120,,,,,,,,,,,,,,
SKU00218449,VJ43,SB43,IMPORTED,Collar Bush,Collar Bush,Collar Bush,Pune Warehouse,8,1441,18%,1700,,,,,,,,,,,,,,
SKU00218732,VJ43,SB43,IMPORTED,GAS CYLINDER 4KG,GAS CYLINDER 4KG,GAS CYLINDER 4KG,Pune Warehouse,5,4025,18%,4750,,,,,,,,,,,,,,
SKU00335027,VJ50,SB50,IMPORTED,GAS CYLINDER 8KG,GAS CYLINDER 8KG,GAS CYLINDER 8KG,Pune Warehouse,1,5178,18%,6110,,,,,,,,,,,,,,
SKU00336018,VJ30,SB30,IMPORTED,Guide Valve,Guide Valve,Guide Valve,Pune Warehouse,1,9203,18%,10860,,,,,,,,,,,,,,
SKU00336016,VJ81,SB81,INDIAN MANUFACTURER,Hex Bolt M14x150,BRACKET PIN LOCKING BOLT,BRACKET PIN LOCKING BOLT,Pune Warehouse,2,288,18%,340,,,,,,,,,,,,,,
SKU00217505,VJ81,SB81,INDIAN MANUFACTURER,Hex bolt M24x110,BRACKET PIN LOCKING BOLT,BRACKET PIN LOCKING BOLT,Pune Warehouse,8,347,18%,410,,,,,,,,,,,,,,
SKU00218735,VJ43,SB43,IMPORTED,Lock Collar Bush,STOPPER RING,STOPPER RING,Pune Warehouse,8,458,18%,540,,,,,,,,,,,,,,
SKU00281120,VJ50,SB50,IMPORTED,PAD SET WITH PLUS PAD,PAD SET,PAD SET,Pune Warehouse,8,10924,18%,12890,,,,,,,,,,,,,,
SKU00281112,VJ50,SB50,IMPORTED,PEDAL ASSEMBLY,PEDAL ASSEMBLY,PEDAL ASSEMBLY,Pune Warehouse,2,347,18%,410,,,,,,,,,,,,,,
SKU00125673,VJ40,SB40,IMPORTED,PEDAL ASSEMBLY,PEDAL ASSEMBLY,PEDAL ASSEMBLY,Pune Warehouse,3,347,18%,410,,,,,,,,,,,,,,
SKU00334298,JS215,JS215,IMPORTED,Piping Kit With Return Line Filter,Piping Kit With Return Line Filter,Piping Kit With Return Line Filter,YL SmartCity CDC,1,67644,18%,79820,,,,,,,,,,,,,,
SKU00335218,VJ81,SB81,IMPORTED,RCB RUBBER BOOT,LOCK PIN STOPPER,LOCK PIN STOPPER,Pune Warehouse,78,34,18%,40,,,,,,,,,,,,,,
SKU00335922,VJ81,SB81,IMPORTED,ROCK BREAKER ADJUSTER VALVE,FLOW ADJUSTER VALVE,FLOW ADJUSTER VALVE,Pune Warehouse,39,347,18%,410,,,,,,,,,,,,,,
SKU00334073,VJ81,SB81,IMPORTED,ROCK BREAKER ADJUSTER VALVE,FLOW ADJUSTER VALVE,FLOW ADJUSTER VALVE,Not available,1,347,18%,410,,,,,,,,,,,,,,
